0, 0, 0
0, 0, 0
-0.000560384, 0.000560384, 0.000412316
-0.00112054, 0.00112054, 0.000824631
-0.00167405, 0.00167405, 0.00123703
-0.0022209, 0.0022209, 0.00164938
-0.00276126, 0.00276126, 0.00206152
-0.0032953, 0.0032953, 0.00247351
-0.00382333, 0.00382333, 0.0028856
-0.0043452, 0.0043452, 0.00329758
-0.00486091, 0.00486091, 0.00370956
-0.00537983, 0.00537983, 0.00412087
-0.00590721, 0.00590721, 0.00453268
-0.00644745, 0.00644745, 0.00494443
-0.00700578, 0.00700578, 0.00535587
-0.00758664, 0.00758664, 0.00576756
-0.00819526, 0.00819526, 0.00617894
-0.00883559, 0.00883559, 0.00659038
-0.00951396, 0.00951396, 0.00700213
-0.0102334, 0.0102334, 0.00741362
-0.010997, 0.010997, 0.00782565
-0.0118094, 0.0118094, 0.00823705
-0.0126735, 0.0126735, 0.00864967
-0.0135928, 0.0135928, 0.00906222
-0.0145704, 0.0145704, 0.0094755
-0.015609, 0.015609, 0.00988893
-0.0167114, 0.0167114, 0.0103014
-0.017846, 0.017846, 0.0107161
-0.0189606, 0.0189606, 0.0111299
-0.0200498, 0.0200498, 0.0115436
-0.0211169, 0.0211169, 0.0119575
-0.022165, 0.022165, 0.0123714
-0.0231971, 0.0231971, 0.0127852
-0.0242165, 0.0242165, 0.0131988
-0.0252264, 0.0252264, 0.0136124
-0.0262301, 0.0262301, 0.0140261
-0.0272311, 0.0272311, 0.0144395
-0.0282323, 0.0282323, 0.0148528
-0.0292371, 0.0292371, 0.0152661
-0.0302486, 0.0302486, 0.0156791
-0.0312699, 0.0312699, 0.0160925
-0.032304, 0.032304, 0.0165054
-0.0333537, 0.0333537, 0.0169191
-0.0344218, 0.0344218, 0.0173325
-0.035511, 0.035511, 0.017746
-0.0366192, 0.0366192, 0.0181599
-0.0377254, 0.0377254, 0.0185731
-0.0388216, 0.0388216, 0.0189864
-0.0399104, 0.0399104, 0.019399
-0.0409943, 0.0409943, 0.0198117
-0.0420764, 0.0420764, 0.0202241
-0.0431592, 0.0431592, 0.0206372
-0.0442457, 0.0442457, 0.0210502
-0.0453387, 0.0453387, 0.0214634
